Ngày;Ao;pH;DO (mg/L);Nhiệt độ (°C);Độ kiềm (mg/L);Độ trong (cm);Độ mặn (ppt);Ghi chú;
01/11/2025;N01;7.8;5.6;29.0;180;30;22;Nước ổn định;
02/11/2025;N01;8.0;5.9;29.5;190;32;23;Tăng nhẹ sau sục khí;
03/11/2025;N01;8.2;6.1;30.0;200;33;24;Nước màu xanh đậm;
04/11/2025;N01;8.4;6.3;30.5;210;35;25;Gần ngưỡng cao;
05/11/2025;N01;8.6;6.5;31.0;220;36;26;pH hơi cao, đã xử lý;
06/11/2025;N01;8.3;6.2;30.5;215;34;25;Ổn định lại;
07/11/2025;N01;8.1;6.0;30.0;210;33;24;Nước trong;
08/11/2025;N01;7.9;5.8;29.5;200;32;23;Nước hơi đục;
09/11/2025;N01;7.7;5.6;29.0;190;30;22;Sau mưa nhẹ;
10/11/2025;N01;7.5;5.4;28.5;180;28;21;Gần ngưỡng thấp;
11/11/2025;N01;7.6;5.5;28.0;175;27;21;Đã xử lý đáy ao;
12/11/2025;N01;7.8;5.7;28.5;180;28;22;Nước ổn định;
13/11/2025;N01;8.0;5.9;29.0;185;29;23;Tăng nhẹ sau cho ăn;
14/11/2025;N01;8.2;6.1;29.5;190;30;24;Nước màu xanh;
15/11/2025;N01;8.3;6.2;30.0;195;31;25;Ổn định;
16/11/2025;N01;8.1;6.0;30.5;200;32;26;Nước trong;
17/11/2025;N01;7.9;5.8;30.0;205;33;27;Sau thay nước;
18/11/2025;N01;7.7;5.6;29.5;210;34;28;Nước hơi đục;
19/11/2025;N01;7.6;5.5;29.0;215;35;29;Đã xử lý đáy;
20/11/2025;N01;7.8;5.7;28.5;220;36;30;Ổn định lại;
01/11/2025;N02;7.9;5.5;28.5;185;28;21;Nước ổn định;
02/11/2025;N02;8.0;5.7;29.0;190;29;22;Sau thay nước;
03/11/2025;N02;8.1;5.9;29.5;195;30;23;Nước màu xanh;
04/11/2025;N02;8.2;6.0;30.0;200;31;24;Ổn định;
05/11/2025;N02;8.3;6.2;30.5;205;32;25;Tăng nhẹ;
06/11/2025;N02;8.1;6.0;30.0;200;31;24;Nước trong;
07/11/2025;N02;7.9;5.8;29.5;195;30;23;Sau mưa;
08/11/2025;N02;7.7;5.6;29.0;190;29;22;Nước hơi đục;
09/11/2025;N02;7.6;5.5;28.5;185;28;21;Gần ngưỡng thấp;
10/11/2025;N02;7.8;5.7;28.0;180;27;21;Đã xử lý đáy;
11/11/2025;N02;8.0;5.9;28.5;185;28;22;Nước ổn định;
12/11/2025;N02;8.2;6.1;29.0;190;29;23;Tăng nhẹ;
13/11/2025;N02;8.3;6.2;29.5;195;30;24;Nước màu xanh;
14/11/2025;N02;8.1;6.0;30.0;200;31;25;Ổn định;
15/11/2025;N02;7.9;5.8;30.5;205;32;26;Sau thay nước;
16/11/2025;N02;7.7;5.6;30.0;210;33;27;Nước hơi đục;
17/11/2025;N02;7.6;5.5;29.5;215;34;28;Đã xử lý đáy;
18/11/2025;N02;7.8;5.7;29.0;220;35;29;Nước ổn định;
19/11/2025;N02;8.0;5.9;28.5;225;36;30;Tăng nhẹ;
20/11/2025;N02;8.2;6.1;28.0;230;37;31;Ổn định;
01/11/2025;N03;8.2;6.0;29.0;190;30;23;Ao vèo mới thả giống;
02/11/2025;N03;8.3;6.1;29.5;195;31;24;Nước trong;
03/11/2025;N03;8.4;6.2;30.0;200;32;25;Tôm phát triển đều;
04/11/2025;N03;8.5;6.3;30.5;205;33;26;Gần ngưỡng cao;
05/11/2025;N03;8.6;6.4;31.0;210;34;27;pH hơi cao, xử lý nhẹ;
06/11/2025;N03;8.4;6.2;30.5;205;33;26;Ổn định lại;
07/11/2025;N03;8.2;6.0;30.0;200;32;25;Nước màu xanh;
08/11/2025;N03;8.0;5.8;29.5;195;31;24;Sau mưa nhẹ;
09/11/2025;N03;7.9;5.7;29.0;190;30;23;Nước hơi đục;
10/11/2025;N03;7.8;5.6;28.5;185;29;22;Gần ngưỡng thấp;
11/11/2025;N03;7.9;5.7;28.0;180;28;21;Đã xử lý đáy;
12/11/2025;N03;8.0;5.8;28.5;185;29;22;Nước ổn định;
13/11/2025;N03;8.1;5.9;29.0;190;30;23;Tăng nhẹ;
